year,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1970,15.332666666666666,0.05325
1971,15.200000000000001,0.05616666666666667
1972,15.292916666666668,0.05583333333333334
1973,15.40475,0.05491666666666667
1974,15.168083333333334,0.056249999999999994
1975,15.238666666666667,0.05533333333333334
1976,15.131083333333335,0.05741666666666667
1977,15.40825,0.053
1978,15.300916666666666,0.0555
1979,15.414166666666667,0.047499999999999994
1980,15.491833333333332,0.05366666666666667
1981,15.516166666666669,0.052333333333333336
1982,15.341916666666668,0.05475
1983,15.520249999999999,0.05583333333333334
1984,15.344166666666666,0.05716666666666667
1985,15.340666666666666,0.05391666666666667
1986,15.384,0.05325
1987,15.524500000000002,0.05333333333333334
1988,15.555750000000002,0.05325
1989,15.441583333333334,0.05591666666666667
1990,15.629333333333333,0.05725
1991,15.597999999999999,0.05508333333333334
1992,15.453000000000001,0.058166666666666665
1993,15.466416666666667,0.059166666666666666
1994,15.534999999999998,0.05858333333333333
1995,15.637833333333333,0.06041666666666667
1996,15.524666666666667,0.0595
1997,15.713833333333334,0.059166666666666666
1998,15.826,0.063
1999,15.600333333333333,0.06333333333333334
2000,15.610666666666667,0.0635
2001,15.7675,0.06458333333333334
2002,15.829166666666667,0.06291666666666666
2003,15.826583333333334,0.06433333333333334
2004,15.757249999999999,0.06125
2005,15.879249999999999,0.06083333333333333
2006,15.8135,0.061
2007,15.827333333333334,0.05908333333333333
2008,15.72125,0.05725
2009,15.827166666666665,0.058916666666666666
2010,15.895499999999998,0.05858333333333333
2011,15.7695,0.059
2012,15.802333333333335,0.0615
2013,15.854416666666667,0.06466666666666666
2014,15.912999999999998,0.06316666666666666
2015,16.058583333333335,0.06083333333333333
